#OTU ID	Leaf-Ctrl2	Leaf-L3.9-Mericon100-1	Leaf-L3.9-Mericon100-2	Leaf-L3.9-PlantPro100-1	Leaf-L3.9-PlantPro100-2	Leaf-L7-PlantPro100-1	Leaf-L7-PlantPro100.2	Leaf-Magmax100-1	Leaf-Magmax100-2	Root-Ctrl-1	Root-Ctrl-2	Root-Magmax100-1	Root-Magmax100-2	Root-R3.9-Mericon100-1	Root-R3.9-Mericon100-2	Root-R3.9-PlantPro100-1	Root-R3.9-PlantPro100-2	Root-R7-PlantPro100-1	Root-R7-PlantPro100-2	Taxonomy
OTU1843	0	0	0	0	0	0	0	0	0	0	0	7	9	32	9	27	15	24	34	SS|0.9200|X56305_S000006614;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,g:Gemmata
OTU1844	0	0	0	0	0	0	0	0	0	0	0	4	4	17	6	46	11	15	20	SS|0.9700|AB072735_S000251887;k:Bacteria,p:"Gemmatimonadetes",c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:Gemmatimonas
OTU1845	0	0	0	0	0	0	0	0	0	0	0	5	4	14	4	17	6	1	7	SS|0.8200|BK000554_S000641842;k:Bacteria,p:Cyanobacteria/Chloroplast,c:Chloroplast,f:Chloroplast,g:Chlorophyta
OTU1846	0	3	0	0	0	0	0	0	0	0	0	10	0	8	5	11	2	14	4	SS|0.9100|GU207874_S002224489;k:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Myxococcales,f:Polyangiaceae
OTU1847	0	0	0	0	0	0	0	0	0	0	0	17	9	17	9	39	12	18	43	SS|1.0000|AB847449_S004125734;k:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Myxococcales
OTU1848	0	0	0	0	0	0	0	0	0	0	0	4	4	7	4	12	10	5	11	SS|1.0000|AM162406_S000650674;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1849	0	1	0	0	0	0	0	0	0	0	0	1	0	18	5	10	9	3	5	SS|0.9700|AY193196_S000401347;k:Bacteria,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis
OTU185	0	0	0	0	0	0	0	0	0	0	0	52	90	119	14	263	160	234	452	GS|100.0|AF523990_S000431354;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;
OTU1850	0	0	0	0	0	0	0	0	0	0	0	9	5	34	3	8	2	2	19	SS|0.9600|AF013522_S000336271;k:Bacteria,p:"Verrucomicrobia"
OTU1851	0	0	0	0	0	0	0	0	0	0	0	2	0	3	3	17	2	1	7	GS|100.0|EF424395_S000824942;k:Bacteria,p:"Bacteroidetes",c:Flavobacteriia,o:"Flavobacteriales",f:Flavobacteriaceae,g:Flavobacterium;
OTU1852	0	0	0	0	0	0	0	0	0	0	0	1	11	42	16	27	13	11	29	SS|0.9900|KC252613_S003753597;k:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Chitinophagaceae
OTU1853	0	0	0	0	0	0	0	0	0	0	0	1	1	1	7	9	5	9	10	SS|1.0000|KC867694_S003811167;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1854	0	0	0	0	0	0	0	0	0	0	0	5	0	5	6	8	7	3	10	GS|98.4|AM887757_S000941900;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Granulicella;
OTU1855	0	0	0	0	0	0	0	0	0	0	0	2	1	3	3	9	1	11	5	GS|78.7|AJ292581_S000022859;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;
OTU1857	0	0	0	0	0	0	0	0	0	0	0	0	1	5	5	7	2	14	11	GS|100.0|AB189298_S000721005;k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae_2,g:Halobacillus;
OTU1858	0	0	0	0	0	0	0	0	0	0	0	3	2	5	3	41	1	19	50	GS|98.0|HQ433447_S002988927;k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae_1,g:Bacillus;
OTU1859	0	0	0	0	0	0	0	0	0	0	0	2	2	22	3	15	2	18	13	SS|0.9400|KC867694_S003811167;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU186	0	0	0	0	0	0	0	0	0	0	0	33	53	107	82	261	111	194	282	GS|100.0|AF431595_S000348322;k:Bacteria,p:"Verrucomicrobia",c:Spartobacteria,g:Spartobacteria_genera_incertae_sedis;
OTU1862	0	27	34	0	0	17	0	20	1	0	0	0	0	1	0	5	2	0	2	GS|100.0|FN824365_S002151400;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Kineosporiaceae,g:Pseudokineococcus;
OTU1863	0	0	0	0	0	0	0	0	0	0	0	4	6	8	9	12	6	6	7	SS|0.9800|KC867694_S003811167;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1864	0	0	0	0	0	0	0	0	0	0	0	11	1	5	4	10	3	0	5	SS|0.9400|X62912_S000016660;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,g:Blastopirellula
OTU1865	0	0	0	0	0	0	0	0	0	0	0	0	4	16	6	10	3	3	16	SS|1.0000|DQ450814_S000692512;k:Bacteria,p:"Armatimonadetes",g:Armatimonadetes_gp5
OTU1866	0	0	0	0	0	0	0	0	0	0	0	5	10	25	10	22	8	12	18	SS|1.0000|X56305_S000006614;k:Bacteria
OTU1867	0	11	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU1868	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	14	1	28	13	GS|100.0|EU004198_S001350584;k:Bacteria,p:"Bacteroidetes",c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Rhodocytophaga;
OTU1869	0	0	0	0	0	0	0	0	0	0	0	13	5	10	7	25	15	25	28	SS|0.9900|AM162406_S000650674;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU187	0	0	0	0	0	0	0	0	0	0	0	85	125	154	93	215	109	143	224	SS|0.9700|X62911_S000013732;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1870	0	0	0	0	0	0	0	0	0	0	0	4	3	5	6	11	14	12	17	SS|1.0000|CP000142_S000728208;k:Bacteria
OTU1871	0	0	0	0	0	0	0	0	0	0	0	4	7	1	1	11	0	15	7	SS|0.9900|X56305_S000006614;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1872	0	8	0	0	0	0	0	0	0	0	0	1	0	0	2	12	13	1	16	GS|0.0|None;No hit
