OTU ID	Leaf-Ctrl2	Leaf-L3.9-Mericon100-1	Leaf-L3.9-Mericon100-2	Leaf-L3.9-PlantPro100-1	Leaf-L3.9-PlantPro100-2	Leaf-L7-PlantPro100-1	Leaf-L7-PlantPro100.2	Leaf-Magmax100-1	Leaf-Magmax100-2	Root-Ctrl-1	Root-Ctrl-2	Root-Magmax100-1	Root-Magmax100-2	Root-R3.9-Mericon100-1	Root-R3.9-Mericon100-2	Root-R3.9-PlantPro100-1	Root-R3.9-PlantPro100-2	Root-R7-PlantPro100-1	Root-R7-PlantPro100-2
OTU1011	0	15	35	0	0	0	0	0	0	0	0	20	1	9	0	26	6	5	13
OTU10113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU10115	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5	1	1	8
OTU10118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
OTU10119	0	2	1	0	0	0	0	0	0	0	0	2	1	0	0	12	5	4	2
OTU1012	0	0	0	0	0	0	0	0	0	0	0	7	14	50	17	15	21	12	8
OTU10120	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU10121	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2
OTU10122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU10123	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
OTU10124	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
OTU10129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU1013	0	0	0	0	0	0	0	0	0	0	0	7	0	33	7	9	14	7	26
OTU10131	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	2	1
OTU10132	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1
OTU10133	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0
OTU10134	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0
OTU10135	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	1	1	2
OTU10136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	5
OTU10137	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU10138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
OTU10139	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
OTU1014	0	0	0	0	0	0	0	0	0	0	0	6	4	20	11	20	19	27	27
OTU10140	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
OTU10142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU10143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
OTU10145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU10146	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU10147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU10148	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU10149	0	25	45	4	0	25	0	6	0	0	0	0	0	0	0	3	0	0	1
OTU1015	0	0	0	0	0	0	0	0	0	0	0	8	1	7	9	17	9	58	4
OTU10150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
OTU10151	0	0	0	0	0	0	0	0	0	0	0	3	1	4	3	3	6	7	4
OTU10152	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	1	0	2
OTU10153	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0
OTU10154	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0
OTU10155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
OTU10157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	3
OTU10159	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1
OTU1016	0	0	0	0	0	0	0	0	0	0	0	58	71	59	39	81	79	95	99
OTU10162	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	3	1	0
OTU10163	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU10165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
OTU10166	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	1	1	5
OTU10167	0	0	0	0	0	0	0	0	0	0	0	5	4	11	8	17	10	10	10
OTU10169	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU1017	0	0	0	0	0	0	0	0	0	0	0	4	8	80	4	15	8	16	2
OTU10170	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	3	3
