	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU7621	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7622	Bacteria	NA	NA	NA	NA	NA	NA
OTU7623	Bacteria	NA	NA	NA	NA	NA	NA
OTU7624	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	NA	NA
OTU7625	NA	NA	NA	NA	NA	NA	NA
OTU7626	Bacteria	NA	NA	NA	NA	NA	NA
OTU7627	Bacteria	NA	NA	NA	NA	NA	NA
OTU7628	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	NA	NA	NA
OTU7629	Bacteria	Verrucomicrobia	Spartobacteria	NA	NA	NA	NA
OTU7630	NA	NA	NA	NA	NA	NA	NA
OTU7632	Bacteria	NA	NA	NA	NA	NA	NA
OTU7633	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Cystobacter	NA
OTU7635	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	NA	NA
OTU7636	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	NA	Chloroplast	NA	NA
OTU7637	Bacteria	NA	NA	NA	NA	NA	NA
OTU7638	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	NA	NA	NA
OTU7639	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7640	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7641	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas/Armatimonadetes_gp3	NA
OTU7642	Bacteria	NA	NA	NA	NA	NA	NA
OTU7643	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	NA	NA
OTU7644	Bacteria	Parcubacteria	NA	NA	NA	Parcubacteria_genera_incertae_sedis	NA
OTU7645	Bacteria	Armatimonadetes	NA	NA	NA	Armatimonadetes_gp5	NA
OTU7646	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	NA
OTU7647	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	NA
OTU7648	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	NA	NA
OTU7649	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	NA
OTU7650	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Wohlfahrtiimonas	NA
OTU7651	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU7652	Bacteria	NA	NA	NA	NA	NA	NA
OTU7654	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
OTU7655	Bacteria	Parcubacteria	NA	NA	NA	Parcubacteria_genera_incertae_sedis	NA
OTU7656	Bacteria	NA	NA	NA	NA	NA	NA
OTU7657	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
OTU7658	Bacteria	Verrucomicrobia	Spartobacteria	NA	NA	Spartobacteria_genera_incertae_sedis	NA
OTU7659	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	NA	Chloroplast	Streptophyta	NA
OTU7660	Bacteria	NA	NA	NA	NA	NA	NA
OTU7661	Bacteria	NA	NA	NA	NA	NA	NA
OTU7664	Bacteria	NA	NA	NA	NA	NA	NA
OTU7665	Bacteria	NA	NA	NA	NA	NA	NA
OTU7667	Bacteria	Acidobacteria	Acidobacteria_Gp6	NA	NA	Gp6	NA
OTU7668	Bacteria	NA	NA	NA	NA	NA	NA
OTU7669	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA	NA
OTU7670	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	NA	NA
OTU7671	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU7673	Bacteria	Bacteroidetes	NA	NA	NA	NA	NA
OTU7674	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	NA	NA	NA
OTU7675	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA
OTU7676	Bacteria	NA	NA	NA	NA	NA	NA
OTU7677	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera	NA
OTU7678	Bacteria	NA	NA	NA	NA	NA	NA
OTU7679	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
OTU7680	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia	NA
OTU7681	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7682	Bacteria	NA	NA	NA	NA	NA	NA
OTU7684	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU7685	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	NA
OTU7686	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Leifsonia	NA
OTU7687	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	NA
OTU7688	Bacteria	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Hydrogenispora	NA
OTU7689	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	NA	Alkalimonas	NA
OTU7690	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	NA	NA
OTU7691	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	NA
OTU7692	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaera	NA
OTU7693	NA	NA	NA	NA	NA	NA	NA
OTU7694	Bacteria	NA	NA	NA	NA	NA	NA
OTU7696	Bacteria	NA	NA	NA	NA	NA	NA
OTU7697	Bacteria	Verrucomicrobia	NA	NA	NA	NA	NA
OTU7698	NA	NA	NA	NA	NA	NA	NA
OTU7699	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA
OTU7700	Bacteria	NA	NA	NA	NA	NA	NA
OTU7701	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA
OTU7702	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA	NA
OTU7704	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	NA	NA	NA
OTU7708	NA	NA	NA	NA	NA	NA	NA
OTU7709	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7710	Bacteria	NA	NA	NA	NA	NA	NA
OTU7711	Bacteria	NA	NA	NA	NA	NA	NA
OTU7712	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
OTU7714	Bacteria	Acidobacteria	Acidobacteria_Gp10	NA	NA	Gp10	NA
OTU7717	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7718	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA
OTU7720	Bacteria	Acidobacteria	Acidobacteria_Gp15	NA	NA	Gp15	NA
OTU7721	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7722	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Frateuria	NA
OTU7723	Bacteria	NA	NA	NA	NA	NA	NA
OTU7724	Bacteria	Parcubacteria	NA	NA	NA	Parcubacteria_genera_incertae_sedis	NA
OTU7725	Bacteria	NA	NA	NA	NA	NA	NA
OTU7726	NA	NA	NA	NA	NA	NA	NA
OTU7727	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU7728	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
OTU7730	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
OTU7731	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7732	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7733	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7734	Bacteria	Acidobacteria	Acidobacteria_Gp5	NA	NA	Gp5	NA
OTU7736	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU7737	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	Hippea	NA
OTU7738	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	NA	NA
OTU7740	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
OTU7741	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	NA	Chloroplast	Streptophyta	NA
