#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU171	GS|97.7|UDB0750323|SH1577627.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae	k:Fungi	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae	No hit
OTU172	GS|100.0|LT796900|SH1637044.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Arthopyreniaceae,g:Arthopyrenia,s:Arthopyrenia salicis	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Arthopyreniaceae,g:Arthopyrenia,s:Arthopyrenia salicis	k:Fungi	No hit
OTU173	SS|0.8800|KM041760|SH1562776.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	No hit
OTU174	GS|99.6|DQ421255|SH1558908.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Pseudorobillarda,s:Pseudorobillarda phragmitis	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Pseudorobillarda	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Pseudorobillarda,s:Pseudorobillarda phragmitis	No hit
OTU176	GS|100.0|UDB035279|SH1571889.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Pseudeurotiaceae,g:Hyphozyma,s:Hyphozyma roseonigra	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Pseudeurotiaceae,g:Hyphozyma,s:Hyphozyma roseonigra	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Pseudeurotiaceae,g:Hyphozyma,s:Hyphozyma roseonigra	No hit
OTU177	GS|99.1|MH374571|SH1181282.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Stachybotryaceae,g:Alfaria,s:Alfaria terrestris	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Stachybotryaceae,g:Alfaria,s:Alfaria terrestris	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Stachybotryaceae,g:Alfaria	No hit
OTU178	GS|0.0|None;No hit	No hit	No hit	No hit
OTU180	SS|1.0000|HG425896|SH1547628.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	No hit
OTU181	GSL|100.0|MN555418|SH1526399.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Bipolaris	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Bipolaris	No hit
OTU182	GS|99.4|MF590004|SH1169266.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	No hit
OTU184	GS|99.6|FJ435145|SH1551738.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae,g:Ceratobasidium	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae,g:Ceratobasidium	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae	No hit
