OTU ID	Leaf-Ctrl-1	Leaf-Ctrl-2	Leaf-L3.9-Mericon100-1	Leaf-L3.9-Mericon100-2	Leaf-L3.9-PlantPro100-1	Leaf-L3.9-PlantPro100-2	Leaf-L7-PlantPro100-1	Leaf-L7-PlantPro100-2	Leaf-Magmax100-1	Leaf-Magmax100-2	Root-Ctrl-1	Root-Magmax100-1	Root-Magmax100-2	Root-R3.9-Mericon100-1	Root-R3.9-Mericon100-2	Root-R3.9-PlantPro100-1	Root-R3.9-PlantPro100-2	Root-R7-PlantPro100-1	Root-R7-PlantPro100-2
OTU1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	54	0
OTU1023	0	0	5	57	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1024	0	0	3	5	24	1	0	0	8	0	0	0	0	0	0	0	0	0	0
OTU1025	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1026	0	0	0	0	0	0	0	41	0	0	0	0	0	0	1	0	0	0	0
OTU1027	0	0	7	6	1	1	0	4	0	0	0	9	0	3	0	3	2	0	3
OTU1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	7
OTU1029	0	0	4	45	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
OTU103	0	0	0	10	0	3	0	0	0	0	0	6684	51	181	136	678	455	365	231
OTU1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	52	0	1
OTU1031	0	0	10	34	0	2	0	0	0	0	0	0	19	0	5	5	13	19	4
OTU1032	0	0	0	0	0	0	0	0	0	0	0	21	0	0	19	4	9	10	2
OTU1034	0	0	0	0	0	0	0	0	0	0	0	35	9	8	2	3	3	6	14
OTU1035	0	0	12	39	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1036	0	0	18	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1037	0	0	0	0	0	14	0	29	0	0	0	0	0	0	0	0	0	0	0
OTU1038	0	0	0	0	0	0	0	0	0	0	0	13	19	7	3	1	14	0	3
OTU1039	0	0	0	0	0	0	0	0	0	0	0	2	3	25	7	12	8	3	5
OTU104	0	0	793	1136	972	541	381	891	518	1818	0	8	0	0	7	5	95	16	95
OTU1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	37	9	20	3
OTU1041	0	0	0	0	0	0	0	0	0	0	0	1	0	56	0	0	0	0	0
OTU1042	0	0	0	11	0	0	0	0	0	0	0	3	0	23	6	0	0	0	3
OTU1043	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	19	4	22	3
OTU1044	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	36	0	9
OTU1045	0	0	35	28	15	8	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU1046	0	0	10	10	62	14	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1047	0	0	0	0	0	0	0	0	0	0	0	33	0	0	3	5	7	0	7
OTU1048	0	0	26	32	15	50	0	52	16	0	0	0	0	0	0	0	0	0	0
OTU1049	0	0	10	3	12	24	0	0	0	14	0	0	0	0	0	7	0	0	0
OTU105	0	0	677	1528	962	536	826	119	316	613	0	12	1	0	2	14	0	0	12
OTU1050	0	0	53	58	35	3	11	10	42	0	0	9	0	1	0	1	3	1	0
OTU1051	0	0	9	2	0	1	26	0	0	0	0	0	0	0	0	0	0	0	0
OTU1052	0	0	37	45	6	21	0	0	18	0	0	0	0	0	0	0	0	0	0
OTU1053	0	0	10	23	14	1	0	15	0	0	0	0	0	0	0	0	0	0	0
OTU1054	0	0	13	5	14	9	3	14	16	37	0	0	0	0	0	0	0	0	0
OTU1055	0	0	6	8	7	4	2	1	11	23	0	5	0	0	0	0	0	0	0
OTU1056	0	0	29	3	0	5	0	0	0	0	0	0	0	0	0	8	0	8	0
OTU1057	0	0	38	4	0	28	0	0	0	0	0	0	0	0	0	0	0	0	11
OTU1058	0	0	0	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	5
OTU106	0	0	0	0	0	0	0	0	0	0	0	7341	3	15	56	176	326	34	14
OTU1060	0	0	0	0	21	0	61	0	0	0	0	0	0	0	0	0	0	0	0
OTU1062	0	0	12	1	1	19	0	0	44	0	0	0	0	0	0	0	0	0	0
OTU1063	0	0	0	0	2	2	0	4	0	44	0	0	0	0	0	0	0	0	0
OTU1064	0	0	0	0	0	0	0	0	0	0	0	14	1	2	3	2	19	8	1
OTU1065	0	0	0	0	0	0	0	0	0	0	0	53	5	12	18	8	11	22	13
OTU1066	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	5	12	5	0
OTU1068	0	0	0	0	0	0	0	0	0	0	0	2	0	4	9	10	28	21	14
OTU1069	0	0	0	3	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
OTU107	0	0	0	0	0	0	0	0	0	0	0	719	25	1914	468	753	1673	269	1285
OTU1070	0	0	7	0	0	19	0	0	30	0	0	0	0	0	0	0	0	0	0
OTU1071	0	0	0	0	0	0	0	0	0	0	0	0	0	43	2	1	2	4	5
OTU1072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0
OTU1073	0	0	21	0	0	0	0	0	0	0	0	0	1	0	3	1	15	0	25
OTU1074	0	0	0	0	0	0	0	0	0	0	0	0	2	7	3	12	29	6	4
OTU1076	0	0	0	1	0	4	0	0	0	0	0	7	0	19	2	6	4	1	2
OTU1077	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0
OTU1078	0	0	0	0	0	0	0	0	0	0	0	13	13	2	20	9	31	7	16
OTU108	0	0	0	0	0	0	0	0	0	0	0	57	662	3431	1779	514	718	758	394
OTU1080	0	0	0	2	13	0	0	16	0	0	0	0	0	0	0	0	0	0	0
OTU1081	0	0	0	0	0	0	0	0	0	0	0	0	1	7	8	14	30	14	9
OTU1083	0	0	16	19	0	7	18	0	15	0	0	0	0	0	0	0	0	0	0
OTU1084	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0
OTU1085	0	0	0	0	0	0	0	0	0	0	0	0	0	27	18	0	0	4	7
OTU1086	0	0	1	6	0	4	0	29	0	0	0	0	0	0	0	0	0	0	0
OTU1087	0	0	0	0	0	0	0	0	0	0	0	4	2	11	13	8	31	16	2
OTU1088	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU109	0	0	0	0	0	0	0	0	0	0	0	151	135	509	504	2023	1196	1335	446
OTU1090	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	3	18	4	18
OTU1091	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	5	17	5
OTU1092	0	0	0	0	0	0	0	0	0	0	0	23	1	0	5	8	10	0	0
OTU1093	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0
OTU1094	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	13	14
OTU1095	0	0	0	0	0	0	0	0	0	0	0	0	17	0	16	3	16	0	5
OTU1096	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	15	29	0	3
OTU1098	0	0	6	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1099	0	0	13	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11	5	0	19452	35732	29404	38350	40476	20525	8810	33652	0	22	80	74	41	79	121	106	280
OTU110	0	0	0	0	0	0	0	0	0	0	0	199	22	247	776	2288	702	116	3068
OTU1100	0	0	0	0	0	15	0	27	0	0	0	0	0	0	0	0	0	0	0
OTU1101	0	0	0	0	0	0	0	0	0	0	0	15	0	7	0	2	3	4	2
OTU1102	0	0	5	0	1	2	3	0	0	32	0	0	0	0	0	0	0	0	0
OTU1104	0	0	0	0	0	0	0	0	0	0	0	41	330	209	171	98	69	93	93
OTU1106	0	0	0	0	0	0	0	0	0	0	0	47	2	4	11	0	9	0	0
OTU1107	0	0	21	45	1	10	8	61	0	0	0	0	0	0	0	0	5	2	1
OTU1108	0	0	0	0	0	0	0	0	0	0	0	24	0	3	1	0	11	0	1
OTU1109	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	2	0	0	0
OTU111	0	0	0	0	0	0	0	0	0	0	0	61	122	291	67	352	4000	546	1172
OTU1110	0	0	16	16	0	16	20	0	0	0	0	0	0	0	0	0	0	0	0
OTU1111	0	0	0	0	0	0	0	0	0	0	0	14	0	15	0	0	26	0	0
OTU1112	0	0	0	0	0	0	0	0	0	0	0	0	0	34	2	4	12	0	0
OTU1113	0	0	0	32	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
OTU1115	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	17	26	0	11
OTU1116	0	0	0	1	0	5	0	0	0	0	0	0	0	10	0	2	0	31	16
OTU1117	0	0	20	8	29	14	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1118	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	8	3	21
OTU112	0	0	12	0	0	1	0	0	0	0	0	518	2311	423	580	944	345	426	5554
OTU1120	0	0	10	20	10	10	12	0	2	0	0	0	0	0	0	0	0	0	0
OTU1121	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	7	6	3	6
OTU1124	0	0	34	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU1125	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	60	0	3
OTU1126	0	0	13	1	5	23	14	4	0	14	0	0	0	19	1	0	4	2	0
OTU1127	0	0	5	18	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1128	0	0	0	0	0	0	0	0	0	0	0	8	0	2	2	0	3	17	4
OTU113	0	0	0	0	0	0	0	0	0	0	0	2	2171	608	540	15	1576	210	529
OTU1130	0	0	0	3	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1131	0	0	0	0	0	0	0	0	0	0	0	1	2	9	8	5	19	13	1
OTU1132	0	0	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1133	0	0	0	0	0	0	0	0	0	0	0	49	0	6	1	2	12	0	4
OTU1134	0	0	0	0	0	0	0	0	0	0	0	2	6	25	9	1	2	0	3
OTU1136	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0
OTU1137	0	0	3	26	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1138	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0
OTU1139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	14	0	1
OTU114	0	0	271	262	1929	263	751	256	129	857	0	0	0	3	1	18	0	7	170
OTU1140	0	0	0	0	0	0	0	0	0	0	0	0	0	2	86	2	5	0	0
OTU1141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	17	40	2
OTU1142	0	0	57	13	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
OTU1143	0	0	0	27	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1144	0	0	10	22	11	10	12	0	1	0	0	0	0	0	0	1	0	0	0
OTU1145	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	45	0	0
OTU1146	0	0	0	0	46	17	19	0	0	0	0	0	0	0	0	0	0	0	0
OTU1147	0	0	18	5	0	15	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU1148	0	0	0	0	0	0	0	0	0	0	0	5	1	13	9	2	9	2	0
OTU1149	0	0	19	38	0	10	0	32	0	0	0	0	0	0	0	0	0	0	0
OTU115	0	0	0	0	0	0	0	0	0	0	0	1703	103	290	198	495	1111	477	1736
OTU1150	0	0	17	16	26	1	0	20	0	0	0	0	0	0	0	0	0	0	0
OTU1151	0	0	10	25	0	7	9	16	0	0	0	0	0	0	0	0	0	0	0
OTU1152	0	0	12	15	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0
OTU1153	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	21	0	11
OTU1154	0	0	112	69	47	92	133	20	149	59	0	6	0	0	0	2	0	1	1
OTU1155	0	0	17	13	14	12	4	4	7	1	0	0	0	0	0	0	0	0	0
OTU1156	0	0	0	0	0	0	0	0	0	0	0	0	2	14	10	1	0	0	1
OTU1157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	15
OTU1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	23	1
OTU1159	0	0	0	0	0	0	0	0	0	0	0	0	6	24	18	5	8	27	0
OTU116	0	0	0	0	0	0	0	0	0	0	0	3	135	1174	633	802	1223	663	803
OTU1160	0	0	0	5	0	0	0	0	0	0	0	0	18	8	0	4	0	0	5
OTU1161	0	0	0	0	0	0	0	0	0	0	0	0	4	18	18	9	83	13	3
OTU1162	0	0	0	0	0	4	26	0	0	0	0	0	0	0	0	0	0	0	0
OTU1163	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	3	12	13
OTU1164	0	0	0	0	0	0	0	0	0	0	0	7	4	8	13	1	11	4	3
OTU1165	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	1	0	0	2
OTU1166	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1167	0	0	5	15	16	1	0	0	0	34	0	0	0	0	0	0	0	0	0
OTU1168	0	0	0	0	0	0	0	0	0	0	0	4	0	9	0	0	28	5	9
OTU1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	19	3
OTU117	0	0	943	1031	906	526	711	726	1225	1718	0	25	16	10	10	12	41	21	13
OTU1170	0	0	23	6	25	4	0	21	0	0	0	0	0	0	0	0	0	0	0
OTU1171	0	0	0	0	0	0	0	0	0	0	0	2	0	13	7	0	29	11	0
OTU1172	0	0	0	0	0	0	0	0	0	0	0	12	0	4	14	0	0	0	1
OTU1173	0	0	0	0	0	0	0	0	0	0	0	0	11	4	8	2	16	4	4
OTU1174	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0
OTU1176	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	3	0	0	0
OTU1177	0	0	9	12	0	11	0	0	29	0	0	0	0	0	0	0	0	0	0
OTU1178	0	0	0	6	11	11	0	0	38	0	0	0	0	0	0	0	0	0	0
OTU1179	0	0	0	0	0	0	0	0	0	0	0	1	10	15	12	6	7	13	14
OTU118	0	0	0	0	0	0	0	0	0	0	0	40	25	150	13	12	5884	20	6
OTU1180	0	0	1	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0
OTU1181	0	0	1	0	1	0	0	0	33	0	0	0	0	0	0	0	0	0	0
OTU1182	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	2	11	0	3
OTU1183	0	0	4	1	13	1	0	5	0	0	0	16	10	2	2	3	3	7	4
OTU1184	0	0	17	27	26	24	26	17	21	18	0	0	0	0	0	0	0	0	0
OTU1185	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
OTU1186	0	0	0	10	0	2	0	0	0	0	0	13	0	8	5	3	5	1	1
OTU1187	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	11	6	5	1
OTU1189	0	0	21	24	16	7	0	0	28	0	0	0	0	0	0	0	0	0	0
OTU119	0	0	184	212	68	21	25	50	55	1	0	1489	157	629	379	976	380	366	418
OTU1190	0	0	1	16	43	7	8	0	0	0	0	0	0	0	0	0	0	0	0
OTU1191	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1192	0	0	0	0	0	0	0	0	0	0	0	1	0	21	0	5	1	12	2
OTU1193	0	0	6	3	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0
OTU1196	0	0	4	0	0	0	0	0	0	0	0	8	2	2	1	3	0	1	6
OTU1197	0	0	18	11	0	8	22	0	0	0	0	0	0	0	0	0	0	0	0
OTU1198	0	0	3	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1199	0	0	3	0	0	9	20	0	23	0	0	0	0	0	0	0	0	0	0
OTU12	0	0	0	0	0	0	0	0	0	0	0	11845	21420	61850	42555	28910	46964	43106	25645
OTU120	0	0	0	0	0	0	0	0	0	0	0	2	2013	503	535	16	1522	201	437
OTU1200	0	0	31	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1201	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1202	0	0	1	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1205	0	0	3	7	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0
OTU1206	0	0	9	0	0	0	12	0	0	0	0	0	0	0	0	0	5	4	2
OTU1207	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	7	14	0	0
OTU1208	0	0	14	15	30	3	0	14	11	0	0	0	0	0	0	0	0	0	0
OTU1209	0	0	0	0	0	0	0	0	0	0	0	0	13	0	24	0	11	0	12
OTU121	0	0	0	0	0	0	0	0	0	0	0	5375	415	3938	1484	408	1113	954	685
OTU1210	0	0	19	22	33	17	7	8	0	1	0	0	0	5	0	0	0	0	0
OTU1211	0	0	0	0	0	0	0	0	0	0	0	0	12	3	2	2	0	6	0
OTU1212	0	0	0	0	0	0	0	0	0	0	0	9	0	13	0	6	0	0	14
OTU1213	0	0	0	0	0	0	0	0	0	0	0	2	1	9	0	0	26	5	2
OTU1214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	1	0	3
OTU1216	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
OTU1217	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	7	8	0
OTU1218	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0
OTU122	0	0	0	0	0	0	0	0	0	0	0	200	0	61	657	393	333	393	1283
OTU1220	0	0	0	0	0	0	0	0	0	0	0	0	3	7	4	2	5	0	5
OTU1221	0	0	5	2	19	2	0	8	0	0	0	0	0	0	0	0	0	0	0
OTU1222	0	0	16	19	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1223	0	0	2	2	31	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1224	0	0	8	0	0	3	0	25	0	0	0	0	0	0	0	0	0	0	0
OTU1226	0	0	0	0	0	0	0	0	0	0	0	0	7	3	2	6	4	23	0
OTU1227	0	0	7	19	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1228	0	0	2	15	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1229	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU123	0	0	23	93	100	320	0	193	299	1	0	2386	259	1168	518	577	773	633	538
OTU1230	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	15	0	12	20
OTU1231	0	0	20	1	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
OTU1232	0	0	0	0	0	0	0	0	0	0	0	25	24	50	45	32	45	9	11
OTU1233	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	2	4	8	4
OTU1234	0	0	16	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU1235	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	17	4	18	9
OTU1236	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	5	0	40	0
OTU1237	0	0	7	10	6	12	0	3	2	0	0	0	0	0	0	0	0	0	0
OTU1238	0	0	0	0	0	0	0	0	0	0	0	1	2	4	4	2	0	5	3
OTU1239	0	0	1	0	0	17	20	0	34	0	0	0	0	0	0	0	0	0	0
OTU124	0	0	563	657	374	378	458	478	901	108	0	7	14	28	17	24	22	57	41
OTU1240	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	61	0
OTU1241	0	0	0	0	0	0	0	0	0	0	0	0	1	17	0	4	0	2	2
OTU1242	0	0	17	13	10	27	0	14	0	0	0	0	3	0	0	0	0	0	0
OTU1243	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	12	0	4
OTU1244	0	0	0	11	0	8	0	6	0	0	0	0	0	0	0	0	0	0	0
OTU1245	0	0	0	0	0	0	0	0	0	0	0	19	0	8	0	1	0	2	1
OTU1246	0	0	2	16	1	35	4	1	3	0	0	27	0	0	0	1	0	0	0
OTU1247	0	0	3	2	0	5	12	0	0	0	0	0	22	0	0	0	0	0	0
OTU1248	0	0	232	84	2	514	3	2	0	0	0	0	0	0	0	0	0	0	0
OTU1249	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU125	0	0	414	337	455	241	359	308	993	131	0	15	7	0	2	2	27	15	6
OTU1250	0	0	0	9	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
OTU1251	0	0	20	3	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
OTU1252	0	0	5	4	9	3	4	1	12	4	0	0	0	1	0	1	1	0	0
OTU1253	0	0	0	0	0	0	0	0	0	0	0	2	2	1	9	2	14	5	1
OTU1254	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	59	1	4	12
OTU1255	0	0	0	0	0	0	0	0	0	0	0	8	1	8	8	10	9	11	6
OTU1256	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	3	0	2	2
OTU1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	10	13
OTU1258	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	3
OTU1259	0	0	0	0	0	0	0	0	0	0	0	6	0	6	8	1	5	5	5
OTU126	0	0	306	243	130	290	454	2580	49	807	0	13	22	109	32	96	507	93	249
OTU1260	0	0	18	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1262	0	0	4	7	0	3	0	0	0	0	0	0	0	0	0	6	0	26	0
OTU1263	0	0	0	0	0	0	0	0	0	0	0	6	9	18	0	4	18	5	5
OTU1264	0	0	0	0	0	0	0	0	0	0	0	15	5	5	2	12	10	0	6
OTU1265	0	0	4	29	27	23	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1266	0	0	0	0	0	0	0	0	0	0	0	7	40	11	12	30	13	18	13
OTU1267	0	0	0	0	0	6	0	0	24	0	0	0	0	0	0	0	0	0	0
OTU1268	0	0	0	0	0	0	0	0	0	0	0	0	4	34	9	1	0	0	4
OTU1269	0	0	0	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU127	1	0	224	76	112	163	187	2758	95	141	0	2	0	9	0	3	2	0	0
OTU1270	0	0	0	0	0	0	0	0	0	0	0	0	4	11	12	0	9	9	5
OTU1271	0	0	0	7	0	2	0	14	0	0	0	0	0	0	0	0	0	0	0
OTU1272	0	0	0	0	0	0	0	0	0	0	0	6	0	16	0	14	1	2	0
OTU1273	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	5	3	4	16
OTU1275	0	0	5	12	0	29	11	0	0	0	0	0	0	3	0	2	4	2	0
OTU1277	0	0	25	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1278	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	11	0	0	0
OTU1279	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	9	18	9	3
OTU128	0	0	0	0	0	0	0	0	0	0	0	33	445	906	514	184	90	968	15
OTU1280	0	0	6	3	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1281	0	0	15	18	29	23	18	13	27	8	0	0	0	0	0	0	0	0	0
OTU1282	0	0	4	4	1	18	0	0	26	1	0	0	0	0	0	0	0	0	0
OTU1284	0	0	0	0	0	0	0	0	0	0	0	242	4	643	976	339	2035	1255	412
OTU1285	0	0	3	0	0	4	20	13	0	0	0	0	0	0	0	2	0	1	1
OTU1286	0	0	0	0	17	12	0	0	0	0	0	0	0	0	0	1	6	0	0
OTU1287	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
OTU1288	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	32	0	0
OTU1289	0	0	0	0	0	0	0	0	0	0	0	1	0	28	0	0	0	1	0
OTU129	0	0	0	0	0	0	0	0	0	0	0	166	1053	829	723	286	269	199	333
OTU1290	0	0	24	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1292	0	0	0	0	0	0	0	0	0	0	0	4	3	7	3	0	7	6	0
OTU1295	0	0	2	0	3	2	2	0	0	9	0	1191	15	50	28	118	122	43	54
OTU1296	0	0	4	18	0	15	0	0	0	0	0	1	1	0	0	0	0	0	0
OTU1297	0	0	0	0	0	0	0	0	0	0	0	3	0	8	0	9	23	15	20
OTU1298	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	8	10
OTU1299	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0
OTU13	0	3	24241	16940	14163	10381	16727	9399	18945	18939	1	6555	21539	8557	4528	39893	42655	20690	57114
OTU130	0	0	0	0	0	0	0	0	0	0	0	155	796	171	621	83	294	1344	289
OTU1300	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0
OTU1301	0	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
OTU1303	0	0	0	0	0	0	0	0	0	0	0	31	0	10	0	0	1	0	0
OTU1304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0
OTU1305	0	0	16	12	10	0	14	0	0	0	0	0	0	0	0	0	0	0	0
